date,source,medium,delivery_available,device_type,promo_activated,filter_used,pageviews,visits,productClick,addToCart,checkout,transactions,revenue
2020-04-21,yandex,cpc,Не определено,Мобайл,yes,no,3365,582,9440,1888,1358,187,194566
2020-04-21,yandex,organic,Не определено,Десктоп,no,no,2406,1062,4190,838,426,57,55174
2020-04-21,yandex,organic,Не определено,Мобайл,yes,no,2192,389,6160,1230,937,107,124943
2020-04-21,google,cpc,Не определено,Десктоп,no,no,1637,852,2940,588,255,46,49420
2020-04-21,yandex,organic,Не определено,Мобайл,no,no,2849,1361,3800,760,560,82,76341
2020-04-21,yandex,cpc,Не определено,Десктоп,no,no,3127,1579,5760,1154,490,87,100131
2020-04-21,yandex,cpc,Не определено,Десктоп,yes,no,3478,535,11500,2300,1065,179,220661
2020-04-21,google,cpc,Не определено,Десктоп,yes,no,2077,318,6070,1214,617,108,118169
2020-04-21,google,organic,Не определено,Десктоп,no,no,3409,1337,6230,1246,580,94,97985
2020-04-21,admitad,cpa,Не определено,Десктоп,no,no,591,326,380,76,35,6,5789
2020-04-21,eLama,cpc,Не определено,Десктоп,yes,no,122,30,500,100,40,5,6171
2020-04-21,google,organic,Не определено,Десктоп,yes,no,3567,471,9350,1870,1145,203,215534
2020-04-21,eLama,cpc,Не определено,Мобайл,no,no,257,129,690,138,85,7,7488
2020-04-21,(direct),(none),Не определено,Десктоп,yes,no,1756,275,3710,742,368,77,82908
2020-05-29,yandex,organic,Не определено,Мобайл,no,no,5288,2208,9320,1864,1214,214,217152
2020-05-29,google,organic,Не определено,Десктоп,no,no,4767,1882,8970,1794,911,171,185444
2020-05-29,google,cpc,Не определено,Десктоп,no,no,1173,560,2370,474,262,47,50557
2020-05-29,google,cpc,Не определено,Мобайл,yes,no,3082,616,9580,1916,1251,184,208944
2020-05-29,admitad,cpa,Не определено,Мобайл,no,no,3397,1599,520,104,86,12,10639
2020-05-29,google,cpc,Не определено,Мобайл,no,no,4100,2086,8080,1616,887,144,164059
2020-05-29,(direct),(none),Не определено,Десктоп,no,no,1327,590,2650,526,348,74,94142
2020-05-29,admitad,cpa,Не определено,Десктоп,no,no,1897,826,760,152,86,14,13919
2020-05-29,google,organic,Не определено,Мобайл,yes,no,5126,775,13050,2608,2184,302,348957
2020-05-29,yandex,cpc,Не определено,Мобайл,no,no,5137,2324,10470,2090,1141,204,248922
2020-05-29,(direct),(none),Не определено,Мобайл,no,no,2181,1101,3190,638,458,73,86082
2020-05-29,yandex,cpc,Не определено,Десктоп,yes,no,6718,1631,20370,4076,2203,354,442775
2020-05-29,yandex,organic,Доставка есть,Мобайл,yes,no,797,67,1880,376,380,51,60494
2020-05-29,yandex,cpc,Не определено,Мобайл,yes,no,4708,892,14540,2910,2055,303,374213
2020-05-29,admitad,cpa,Не определено,Мобайл,yes,no,2046,400,4480,898,824,129,149581
2020-05-29,(direct),(none),Не определено,Мобайл,yes,no,1674,260,4340,868,782,107,118858
2020-05-29,yandex,organic,Не определено,Десктоп,no,no,4020,1685,9430,1886,974,164,192728
2020-05-29,google,organic,Не определено,Мобайл,no,no,7440,2967,12240,2448,1614,266,272503
2020-05-29,yandex,cpc,Не определено,Десктоп,no,no,2074,1054,4290,854,418,70,83618
2020-05-29,yandex,organic,Не определено,Мобайл,yes,no,3071,496,8350,1668,1433,207,234798
2020-05-29,eLama,cpc,Не определено,Мобайл,no,no,488,257,710,142,93,16,15700
2020-05-29,yandex,cpc,Не определено,Десктоп,yes,yes,592,72,2020,404,157,24,35921
2020-05-29,google,organic,Не определено,Десктоп,yes,no,4428,609,11620,2322,1470,264,302157
2020-05-29,google,cpc,Не определено,Десктоп,yes,no,3429,845,9980,1996,944,187,212947
2020-05-29,yandex,organic,Не определено,Десктоп,yes,no,3346,494,10450,2088,1208,196,245896
2020-05-29,admitad,cpa,Не определено,Десктоп,yes,no,2138,399,4720,942,597,117,150600
2020-02-29,google,organic,Не определено,Мобайл,no,no,8555,3808,15280,3052,1936,349,353611
2020-02-29,google,organic,Не определено,Мобайл,yes,no,3392,614,8840,1768,1498,224,253379
2020-02-29,(direct),(none),Не определено,Мобайл,yes,no,2037,392,5190,1036,709,114,128677
2020-02-29,admitad,cpa,Не определено,Мобайл,no,no,2272,1272,700,140,116,12,10656
2020-02-29,google,organic,Не определено,Десктоп,no,no,4043,1484,9240,1848,975,203,232532
2020-02-29,yandex,organic,Не определено,Мобайл,no,no,5719,2485,11430,2286,1393,245,276182
2020-02-29,admitad,cpa,Не определено,Десктоп,no,no,514,287,410,82,46,8,10254
2020-02-29,google,cpc,Не определено,Мобайл,no,no,4588,2319,9630,1924,1116,170,204879
2020-02-29,(direct),(none),Не определено,Десктоп,no,no,1341,545,2430,482,285,76,87490
2020-02-29,eLama,cpc,Не определено,Мобайл,no,no,433,246,700,140,74,13,10321
2020-02-29,(direct),(none),Не определено,Мобайл,no,no,2523,1325,3450,690,430,92,91847
2020-02-29,yandex,cpc,Не определено,Мобайл,yes,no,3399,566,10430,2086,1529,243,283630
2020-02-29,yandex,cpc,Не определено,Мобайл,no,no,6010,2825,13230,2644,1472,258,315543
2020-02-29,google,cpc,Не определено,Десктоп,no,no,2051,825,5070,1014,504,106,144605
2020-02-29,yandex,cpc,Не определено,Десктоп,yes,yes,421,32,1100,220,117,19,26594
2020-02-29,google,organic,Не определено,Десктоп,yes,no,2692,394,7270,1456,886,189,210683
2020-02-29,google,cpc,Не определено,Десктоп,yes,no,1446,215,4260,852,488,102,125037
2020-02-29,yandex,cpc,Не определено,Десктоп,no,no,2993,1356,7600,1520,617,123,159655
2020-02-29,yandex,cpc,Не определено,Десктоп,yes,no,2885,414,9270,1852,991,199,247010
2020-09-03,yandex,organic,Не определено,Мобайл,yes,no,3222,411,2620,520,656,37,45105
2020-09-03,(direct),(none),Не определено,Мобайл,no,no,2886,954,1520,302,277,31,28324
2020-09-03,yandex,organic,Не определено,Мобайл,no,no,5889,1243,4240,846,836,67,62000
2020-09-03,google,organic,Не определено,Мобайл,no,no,9230,1950,4850,968,1324,84,73721
2020-09-03,admitad,cpa,Не определено,Мобайл,no,no,1724,665,330,66,84,1,1127
2020-09-03,google,organic,Не определено,Мобайл,yes,no,5351,689,4130,824,1062,46,50787
2020-09-03,yandex,cpc,Не определено,Мобайл,yes,no,6877,1050,5060,1012,1179,63,77948
2020-09-03,google,organic,Доставка есть,Мобайл,no,no,3408,185,3900,780,903,125,135608
2020-09-03,admitad,cpa,Не определено,Мобайл,yes,no,1298,217,1030,206,293,17,19087
2020-09-03,(direct),(none),Не определено,Десктоп,no,no,1207,381,1750,302,218,37,41958
2020-09-03,eLama,cpc,Не определено,Мобайл,yes,no,424,44,420,84,80,4,5294
2020-09-03,google,cpc,Не определено,Мобайл,no,no,1916,588,1120,224,183,12,8162
2020-09-03,admitad,cpa,Не определено,Десктоп,yes,no,1569,211,2500,500,369,50,62231
2020-09-03,google,organic,Не определено,Десктоп,no,no,3254,866,4180,832,505,60,60929
2020-09-03,google,cpc,Не определено,Десктоп,yes,no,1507,250,2640,528,341,33,47528
2020-09-03,google,organic,Не определено,Десктоп,yes,no,3209,456,5600,1118,631,59,92108
2020-09-03,google,cpc,Не определено,Десктоп,no,no,563,175,1050,210,98,16,14883
2020-01-16,google,organic,Не определено,Мобайл,yes,no,1572,290,4450,890,712,92,106893
2020-01-16,(direct),(none),Не определено,Мобайл,yes,no,860,149,2690,538,326,46,57769
2020-01-16,yandex,cpc,Не определено,Мобайл,no,no,3208,1645,6370,1274,698,99,115926
2020-01-16,(direct),(none),Не определено,Мобайл,no,no,2288,1387,2260,452,247,35,35010
2020-01-16,google,cpc,Не определено,Мобайл,no,no,2737,1382,5880,1176,643,97,97503
2020-01-16,google,organic,Не определено,Десктоп,no,no,3170,1372,6800,1358,601,123,176642
2020-01-16,eLama,cpc,Не определено,Мобайл,no,no,303,177,650,130,82,13,12635
2020-01-16,google,organic,Не определено,Мобайл,no,no,4348,2090,6270,1254,878,144,142382
2020-01-16,google,cpc,Не определено,Мобайл,yes,no,929,198,2470,494,377,60,71334
2020-01-16,yandex,organic,Не определено,Мобайл,no,no,2738,1291,4500,898,602,95,99644
2020-01-16,yandex,organic,Не определено,Мобайл,yes,no,863,196,2450,490,449,55,65234
2020-01-16,yandex,cpc,Не определено,Десктоп,no,no,2796,1452,6530,1298,505,106,174559
2020-01-16,(direct),(none),Не определено,Десктоп,no,no,1811,975,2600,520,246,53,78331
2020-01-16,google,cpc,Не определено,Десктоп,no,no,1596,741,4050,810,311,67,120260
2020-01-16,google,organic,Не определено,Десктоп,yes,no,1713,269,4970,994,534,104,143726
2020-01-16,yandex,organic,Доставка есть,Десктоп,no,no,104,14,300,60,50,13,16335
2020-01-16,yandex,organic,Не определено,Десктоп,no,no,2234,1047,4810,960,410,79,91933
2020-01-16,(direct),(none),Не определено,Десктоп,yes,no,1034,197,2220,444,212,33,43054
2020-03-01,yandex,cpc,Не определено,Мобайл,yes,yes,146,21,390,78,53,9,8810
2020-03-01,google,cpc,Не определено,Мобайл,no,no,3767,2010,7790,1558,947,155,172829
2020-03-01,yandex,cpc,Не определено,Мобайл,no,no,4417,2246,8870,1772,959,160,175502
2020-03-01,(direct),(none),Не определено,Мобайл,no,no,2508,1317,3450,688,432,82,92223
2020-03-01,yandex,cpc,Не определено,Десктоп,no,no,2426,1150,5220,1044,452,100,137364
2020-03-01,google,organic,Не определено,Мобайл,no,no,6970,3201,11940,2388,1486,269,280153
2020-03-01,yandex,organic,Не определено,Мобайл,no,no,4528,2131,8110,1622,1013,171,193517
2020-03-01,google,cpc,Не определено,Десктоп,no,no,1964,796,4890,978,460,88,97743
2020-03-01,admitad,cpa,Не определено,Десктоп,no,no,488,245,660,132,65,15,15008
2020-03-01,admitad,cpa,Не определено,Мобайл,yes,no,1275,234,2690,536,533,75,90035
2020-03-01,(direct),(none),Доставка есть,Мобайл,no,no,151,16,440,88,67,15,18147
2020-03-01,yandex,organic,Не определено,Мобайл,yes,no,2084,402,6100,1220,903,141,158774
2020-03-01,google,cpc,Не определено,Мобайл,yes,no,1587,290,4530,906,678,97,120515
2020-03-01,google,organic,Не определено,Мобайл,yes,no,2762,513,7290,1460,1143,169,182731
2020-03-01,(direct),(none),Не определено,Десктоп,no,no,1059,449,1730,346,218,57,58803
2020-03-01,yandex,cpc,Не определено,Десктоп,yes,yes,301,27,950,190,100,19,18991
2020-03-01,yandex,cpc,Не определено,Десктоп,yes,no,2457,358,7710,1548,788,160,193790
2020-03-01,google,organic,Не определено,Десктоп,no,no,2990,1253,5800,1160,578,126,122665
2020-03-01,yandex,organic,Не определено,Десктоп,no,no,2160,951,4710,942,435,97,102649
2020-03-01,admitad,cpa,Не определено,Десктоп,yes,no,1342,224,2780,556,420,92,103467
2020-03-01,google,organic,Не определено,Десктоп,yes,no,1956,284,5250,1050,557,126,145503
2020-03-01,yandex,organic,Не определено,Десктоп,yes,no,1259,190,3610,722,415,76,83481
2020-03-01,(direct),(none),Не определено,Десктоп,yes,no,939,243,2070,414,252,59,68226
2020-03-01,yandex,cpc,Не определено,Десктоп,no,yes,268,43,460,92,37,7,14181
2020-05-22,admitad,cpa,Не определено,Мобайл,yes,no,2010,315,4340,868,746,123,138178
2020-05-22,google,cpc,Доставка есть,Десктоп,no,no,74,12,290,58,46,6,6909
2020-05-22,yandex,organic,Не определено,Мобайл,no,no,4680,2097,6820,1364,946,152,147205
2020-05-22,google,cpc,Не определено,Мобайл,no,no,4286,2350,6540,1310,720,112,124592
2020-05-22,google,organic,Не определено,Мобайл,no,no,7049,2900,10580,2116,1367,218,213978
2020-05-22,yandex,cpc,Не определено,Мобайл,yes,no,5051,987,15010,2998,2108,303,370007
2020-05-22,yandex,cpc,Не определено,Мобайл,no,no,4970,2348,9300,1858,1065,185,205507
2020-05-22,promo,email,Не определено,Мобайл,no,no,794,535,930,186,58,6,8765
2020-05-22,yandex,organic,Не определено,Десктоп,no,no,4013,1699,8400,1678,802,140,141379
2020-05-22,yandex,cpc,Не определено,Десктоп,no,no,2196,1106,4050,810,437,83,93871
2020-05-22,(direct),(none),Не определено,Десктоп,no,no,1484,757,2200,436,277,50,68663
2020-05-22,google,organic,Не определено,Десктоп,no,no,5368,2039,10370,2078,1042,172,188898
2020-05-22,admitad,cpa,Не определено,Десктоп,no,no,1818,837,610,122,90,18,15797
2020-05-22,google,organic,Не определено,Мобайл,yes,no,4702,730,12200,2438,1926,298,327492
2020-05-22,facebook,social,Не определено,Мобайл,yes,no,174,62,760,152,75,0,0
2020-05-22,yandex,cpc,Не определено,Десктоп,yes,no,6620,1713,20910,4182,2082,339,435585
2020-05-22,eLama,cpc,Не определено,Мобайл,no,no,404,198,1000,200,122,18,14124
2020-05-22,google,cpc,Не определено,Десктоп,no,no,1184,666,2230,446,245,34,39863
2020-05-22,(direct),(none),Не определено,Мобайл,no,no,2211,1134,2700,536,355,70,69422
2020-05-22,eLama,cpc,Не определено,Десктоп,no,no,320,138,750,150,70,13,11608
2020-05-22,google,organic,Не определено,Десктоп,yes,no,4681,670,13540,2708,1552,277,327469
2020-05-22,google,cpc,Не определено,Десктоп,yes,no,3430,878,9820,1962,906,166,199658
2020-05-22,cityads,cpa,Не определено,Десктоп,yes,no,568,101,930,186,179,27,32300
2020-05-22,google,organic,Не определено,Десктоп,no,yes,200,41,460,92,45,10,9904
2020-05-22,admitad,cpa,Не определено,Мобайл,no,no,2942,1417,660,132,100,14,13121
2020-05-22,promo,email,Не определено,Мобайл,yes,no,1393,286,4090,818,563,77,88918
2020-05-22,google,organic,Не определено,Десктоп,yes,yes,604,50,1570,314,179,32,34913
2020-05-22,(direct),(none),Не определено,Десктоп,yes,no,1648,281,4340,866,596,92,100962
2020-08-11,google,organic,Не определено,Мобайл,no,no,4409,2198,6010,1202,1554,80,72255
2020-08-11,yandex,organic,Доставка есть,Мобайл,yes,no,909,86,2440,486,856,55,69812
2020-08-11,yandex,organic,Не определено,Мобайл,no,no,3906,2217,4460,892,1141,67,57539
2020-08-11,google,cpc,Не определено,Мобайл,no,no,2448,1459,3420,684,626,43,37568
2020-08-11,admitad,cpa,Не определено,Мобайл,no,no,1333,752,370,74,96,2,3858
2020-08-11,google,cpc,Не определено,Мобайл,yes,no,1071,325,3460,692,955,29,24755
2020-08-11,yandex,cpc,Не определено,Мобайл,yes,no,1499,466,4460,892,1402,32,37873
2020-08-11,yandex,organic,Доставка есть,Мобайл,no,no,938,106,2520,504,715,61,66031
2020-08-11,yandex,cpc,Доставка есть,Мобайл,yes,no,1225,111,3400,680,1178,77,114465
2020-08-11,yandex,cpc,Не определено,Мобайл,no,no,2654,1588,3920,784,650,39,38170
2020-08-11,yandex,organic,Не определено,Мобайл,yes,no,1222,316,3360,670,1133,34,39088
2020-08-11,(direct),(none),Не определено,Мобайл,yes,no,515,131,1480,296,456,20,23434
2020-08-11,admitad,cpa,Не определено,Мобайл,yes,no,719,200,1580,316,607,34,44448
2020-08-11,google,organic,Не определено,Мобайл,yes,no,1450,410,3540,708,1202,57,60885
2020-08-11,yandex,organic,Доставка есть,Десктоп,yes,no,460,41,1350,270,323,28,44722
2020-08-11,admitad,cpa,Не определено,Десктоп,yes,no,847,187,1940,388,327,42,52943
2020-08-11,google,organic,Не определено,Десктоп,yes,no,1501,319,4960,992,713,72,82778
2020-08-11,google,organic,Доставка есть,Десктоп,no,no,581,58,1940,388,254,49,65856
2020-08-11,yandex,cpc,Доставка есть,Десктоп,yes,no,1246,108,4070,814,731,61,103385
2020-08-11,yandex,cpc,Не определено,Десктоп,yes,no,2523,912,8560,1706,960,79,122354
2020-08-11,eLama,cpc,Не определено,Десктоп,no,no,142,66,400,80,32,5,4246
2020-08-11,yandex,organic,Не определено,Десктоп,no,no,2201,1230,4080,814,532,54,63743
2020-08-11,(direct),(none),Не определено,Десктоп,no,no,776,399,1860,368,260,34,37310
2020-08-11,google,cpc,Не определено,Десктоп,no,no,209,115,440,88,51,5,5025
2020-08-11,google,organic,Не определено,Десктоп,no,no,1970,828,3960,790,604,72,77148
2020-07-01,yandex,organic,Не определено,Мобайл,yes,no,1877,415,5880,1176,1772,85,103447
2020-07-01,google,organic,Не определено,Мобайл,no,no,6589,3197,9000,1798,2398,170,154093
2020-07-01,yandex,organic,Доставка есть,Мобайл,no,no,1611,195,4780,956,1056,153,186057
2020-07-01,admitad,cpa,Доставка есть,Мобайл,no,no,134,18,300,60,79,14,13054
2020-07-01,yandex,cpc,Не определено,Мобайл,no,no,4117,2379,6030,1206,1221,88,86741
2020-07-01,google,cpc,Не определено,Мобайл,yes,no,1343,403,4260,852,949,44,56998
2020-07-01,google,organic,Не определено,Мобайл,no,yes,203,46,520,104,112,6,9254
2020-07-01,yandex,organic,Не определено,Мобайл,no,no,4817,2322,7530,1506,1809,141,131432
2020-07-01,admitad,cpa,Не определено,Мобайл,no,no,2229,1332,590,118,225,16,13008
2020-07-01,google,cpc,Не определено,Мобайл,no,no,3001,1785,4140,828,726,67,65746
2020-07-01,(direct),(none),Не определено,Мобайл,no,no,1973,1169,2050,410,461,47,40491
2020-07-01,(direct),(none),Не определено,Мобайл,yes,no,582,148,1390,278,407,35,38270
2020-07-01,yandex,cpc,Не определено,Мобайл,yes,no,2274,601,7210,1442,1855,96,109439
2020-07-01,cityads,cpa,Не определено,Мобайл,yes,no,418,99,560,112,226,17,18993
2020-07-01,google,organic,Не определено,Десктоп,yes,yes,245,24,910,182,90,10,10499
2020-07-01,yandex,cpc,Не определено,Десктоп,yes,no,2603,877,8350,1670,1068,121,156054
2020-07-01,google,organic,Не определено,Десктоп,yes,no,1910,381,5650,1130,851,121,148850
2020-07-01,admitad,cpa,Не определено,Десктоп,yes,no,1503,373,3550,710,524,94,112239
2020-07-01,yandex,organic,Не определено,Десктоп,yes,no,1315,259,4270,854,660,85,99710
2020-07-01,google,organic,Не определено,Десктоп,no,no,2355,903,4930,982,842,101,94300
2020-07-01,yandex,organic,Не определено,Десктоп,no,no,1836,872,4460,892,550,74,98294
2020-07-01,admitad,cpa,Не определено,Десктоп,no,no,357,204,310,62,46,6,5318
2020-07-01,google,cpc,Не определено,Десктоп,yes,no,1039,413,3060,612,361,43,51270
2020-06-02,(direct),(none),Не определено,Мобайл,yes,no,1203,170,4140,828,757,60,67757
2020-06-02,google,organic,Не определено,Мобайл,yes,no,3422,556,9340,1868,1451,196,245490
2020-06-02,yandex,cpc,Не определено,Мобайл,yes,no,3194,694,9350,1870,1449,181,229145
2020-06-02,google,organic,Не определено,Мобайл,no,no,5351,2372,7900,1578,955,163,172849
2020-06-02,yandex,cpc,Не определено,Десктоп,no,no,1454,862,2400,484,252,39,51773
2020-06-02,yandex,organic,Не определено,Мобайл,no,no,3605,1766,5480,1096,749,115,117009
2020-06-02,google,cpc,Не определено,Мобайл,no,no,3033,1612,4910,982,587,93,99559
2020-06-02,admitad,cpa,Не определено,Мобайл,no,no,1370,766,750,150,128,15,12616
2020-06-02,yandex,cpc,Не определено,Мобайл,no,no,3704,1917,6350,1270,746,126,150540
2020-06-02,(direct),(none),Не определено,Десктоп,no,no,1044,490,1610,322,261,51,55585
2020-06-02,yandex,organic,Не определено,Десктоп,yes,no,2563,409,7560,1510,883,141,184502
2020-06-02,(direct),(none),Не определено,Мобайл,no,no,1544,774,2140,426,296,51,47360
2020-06-02,google,organic,Не определено,Десктоп,no,no,3537,1398,5490,1094,672,136,141067
2020-06-02,yandex,cpc,Доставка есть,Десктоп,yes,no,918,80,2740,546,414,64,90479
2020-06-02,yandex,cpc,Не определено,Десктоп,yes,no,5115,1425,15460,3094,1716,265,340579
2020-06-02,google,cpc,Не определено,Десктоп,yes,no,2414,645,7040,1406,761,115,146980
2020-06-02,yandex,organic,Не определено,Десктоп,no,no,2979,1439,6630,1326,580,95,116082
2020-06-02,eLama,cpc,Не определено,Десктоп,no,no,224,85,530,106,47,10,10954
2020-06-02,(direct),(none),Не определено,Десктоп,yes,no,1613,202,4420,884,1009,62,74995
2020-06-02,google,cpc,Не определено,Десктоп,no,no,653,367,1130,226,120,20,22879
2020-02-22,yandex,organic,Не определено,Мобайл,yes,no,4544,817,12790,2558,1815,298,328117
2020-02-22,yandex,cpc,Не определено,Мобайл,no,no,5526,2873,10480,2096,1206,192,220144
2020-02-22,google,organic,Доставка есть,Мобайл,no,no,1039,111,2590,518,461,89,92237
2020-02-22,google,organic,Не определено,Мобайл,no,no,9341,4386,15210,3042,1924,328,332585
2020-02-22,google,organic,Не определено,Десктоп,yes,no,3903,580,10970,2196,1299,269,296913
